X=  997.74163, Y=  2600.28581, th=  0.21069 
X=  997.74163, Y=  2600.28581, th=  0.21717 
X=  997.74163, Y=  2600.28581, th=  0.22365 
X=  997.74163, Y=  2600.28581, th=  0.23013 
X=  997.74163, Y=  2600.28581, th=  0.23662 
X=  997.74163, Y=  2600.28581, th=  0.23662 
X=  997.52132, Y=  2600.23155, th=  0.24634 
X=  997.74127, Y=  2600.28724, th=  0.24958 
X=  997.74127, Y=  2600.28724, th=  0.25606 
X=  997.74127, Y=  2600.28724, th=  0.26255 
X=  997.74127, Y=  2600.28724, th=  0.26903 
X=  997.74127, Y=  2600.28724, th=  0.27551 
X=  997.74127, Y=  2600.28724, th=  0.28200 
X=  997.74127, Y=  2600.28724, th=  0.28848 
X=  997.74127, Y=  2600.28724, th=  0.28848 
X=  997.52407, Y=  2600.22163, th=  0.29820 
X=  997.74084, Y=  2600.28865, th=  0.30144 
X=  997.74084, Y=  2600.28865, th=  0.30793 
X=  997.74084, Y=  2600.28865, th=  0.31441 
X=  997.74084, Y=  2600.28865, th=  0.32089 
X=  997.74084, Y=  2600.28865, th=  0.32737 
X=  997.74084, Y=  2600.28865, th=  0.33386 
X=  997.74084, Y=  2600.28865, th=  0.34034 
X=  997.52708, Y=  2600.21256, th=  0.34358 
X=  997.52708, Y=  2600.21256, th=  0.35006 
X=  997.74009, Y=  2600.29072, th=  0.35330 
X=  997.74009, Y=  2600.29072, th=  0.35979 
X=  997.74009, Y=  2600.29072, th=  0.36627 
X=  997.74009, Y=  2600.29072, th=  0.37275 
X=  997.74009, Y=  2600.29072, th=  0.37924 
X=  997.95073, Y=  2600.37506, th=  0.38248 
X=  997.74064, Y=  2600.28936, th=  0.39220 
X=  997.74064, Y=  2600.28936, th=  0.39220 
X=  997.74064, Y=  2600.28936, th=  0.39868 
X=  997.74064, Y=  2600.28936, th=  0.40517 
X=  997.74064, Y=  2600.28936, th=  0.41165 
X=  997.74064, Y=  2600.28936, th=  0.41813 
X=  997.94784, Y=  2600.38182, th=  0.42137 
X=  997.74125, Y=  2600.28802, th=  0.43110 
X=  997.94723, Y=  2600.38316, th=  0.43434 
X=  997.94723, Y=  2600.38316, th=  0.44082 
X=  997.74218, Y=  2600.28602, th=  0.44406 
X=  997.74218, Y=  2600.28602, th=  0.45054 
X=  997.74218, Y=  2600.28602, th=  0.45703 
X=  997.94562, Y=  2600.38647, th=  0.46027 
X=  997.74284, Y=  2600.28470, th=  0.46999 
X=  997.94496, Y=  2600.38778, th=  0.47323 
X=  997.94496, Y=  2600.38778, th=  0.47972 
X=  997.74385, Y=  2600.28274, th=  0.48296 
X=  997.94462, Y=  2600.38844, th=  0.48620 
X=  997.74454, Y=  2600.28144, th=  0.49592 
X=  997.94392, Y=  2600.38973, th=  0.49916 
X=  997.94392, Y=  2600.38973, th=  0.50565 
X=  997.94392, Y=  2600.38973, th=  0.51213 
X=  997.94392, Y=  2600.38973, th=  0.51861 
X=  997.74705, Y=  2600.27695, th=  0.52185 
X=  997.74705, Y=  2600.27695, th=  0.52834 
X=  997.74705, Y=  2600.27695, th=  0.53482 
X=  997.94207, Y=  2600.39291, th=  0.53806 
X=  997.94207, Y=  2600.39291, th=  0.54454 
X=  997.94207, Y=  2600.39291, th=  0.55103 
X=  997.94207, Y=  2600.39291, th=  0.55751 
X=  997.74973, Y=  2600.27255, th=  0.56075 
X=  997.94168, Y=  2600.39353, th=  0.56399 
X=  997.75051, Y=  2600.27131, th=  0.57371 
X=  997.94088, Y=  2600.39477, th=  0.57696 
X=  997.94088, Y=  2600.39477, th=  0.58344 
X=  997.75172, Y=  2600.26946, th=  0.58668 
X=  997.75172, Y=  2600.26946, th=  0.59316 
X=  997.75172, Y=  2600.26946, th=  0.59965 
X=  997.93882, Y=  2600.39781, th=  0.60289 
X=  997.75256, Y=  2600.26825, th=  0.61261 
X=  997.93798, Y=  2600.39902, th=  0.61585 
X=  997.93798, Y=  2600.39902, th=  0.62233 
X=  997.75384, Y=  2600.26646, th=  0.62558 
X=  997.75384, Y=  2600.26646, th=  0.63206 
X=  997.75384, Y=  2600.26646, th=  0.63854 
X=  997.93581, Y=  2600.40199, th=  0.64178 
X=  997.75472, Y=  2600.26528, th=  0.65151 
X=  997.93492, Y=  2600.40316, th=  0.65475 
X=  997.93492, Y=  2600.40316, th=  0.66123 
X=  997.93492, Y=  2600.40316, th=  0.66771 
X=  997.93492, Y=  2600.40316, th=  0.67420 
X=  997.75790, Y=  2600.26123, th=  0.67744 
X=  997.93446, Y=  2600.40373, th=  0.68068 
X=  997.93446, Y=  2600.40373, th=  0.68716 
X=  997.93446, Y=  2600.40373, th=  0.69364 
